# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-11-17T00:00:00.000Z,1,5.03,1.75,1.48,2.2,0.526,577
2023-11-18T00:00:00.000Z,1.3,9.43,2.78,2.14,3.74,1.306,569
2023-11-19T00:00:00.000Z,1.2,11.2,3.63,2.24,5.13,2.063,580
2023-11-20T00:00:00.000Z,3.78,10.19,5.6,4.9,7.35,1.392,581
2023-11-21T00:00:00.000Z,2.15,5.97,3.47,2.92,4.43,0.898,573
2023-11-22T00:00:00.000Z,1.4,10.8,2.78,2.2,4.2,2.144,566
2023-11-23T00:00:00.000Z,1.58,9.9,2.52,2.25,2.92,1.287,583
2023-11-24T00:00:00.000Z,1.12,8.73,1.9,1.67,2.2,0.634,581
2023-11-25T00:00:00.000Z,1.27,5.5,1.85,1.63,2.04,0.424,558
2023-11-26T00:00:00.000Z,1.65,21.95,3.5,2.8,5.25,4.204,566
2023-11-27T00:00:00.000Z,1.48,6.47,2.83,2.45,3.22,0.628,559
2023-11-28T00:00:00.000Z,1.52,8.75,2.58,2.22,4.32,1.396,562
2023-11-29T00:00:00.000Z,2.2,11.3,4.22,3.53,5.2,1.132,573
2023-11-30T00:00:00.000Z,1.73,8.15,3.3,2.54,4.05,1.083,578
2023-12-01T00:00:00.000Z,1.92,5,2.9,2.7,3.15,0.415,568
2023-12-02T00:00:00.000Z,1.85,7.75,2.97,2.6,3.55,0.709,553
2023-12-03T00:00:00.000Z,2.13,13.8,4.22,2.95,6.18,2.188,556
2023-12-04T00:00:00.000Z,4.57,16.27,9.68,7.59,10.98,2.169,573
2023-12-05T00:00:00.000Z,2.38,10.05,4.88,3.95,6.35,1.667,581
2023-12-06T00:00:00.000Z,4.53,16.7,8.1,5.93,11.75,2.92,574
2023-12-07T00:00:00.000Z,5.63,46,13.1,8.25,18.98,6.532,561
2023-12-08T00:00:00.000Z,2.63,27.08,12.05,7.96,18.8,6.459,569
2023-12-09T00:00:00.000Z,8.1,25.7,14.15,11.88,16.27,3.13,575
2023-12-10T00:00:00.000Z,4.45,18.5,10.82,7.5,13.18,3.197,579
2023-12-11T00:00:00.000Z,1.55,8.32,3.95,3.08,5.05,1.305,571
2023-12-12T00:00:00.000Z,2.35,7.55,3.75,3.22,4.32,0.735,571
2023-12-13T00:00:00.000Z,2.4,7.03,3.85,3.38,4.3,0.707,550
2023-12-14T00:00:00.000Z,2.08,12.77,3.65,3.17,6.63,1.984,558
2023-12-15T00:00:00.000Z,2.97,16.23,6.34,4.68,9.82,3.252,562
2023-12-16T00:00:00.000Z,2.8,14.15,4.8,3.88,6.43,2.288,552
2023-12-17T00:00:00.000Z,2.2,6.6,4,3.53,4.5,0.719,555
2023-12-18T00:00:00.000Z,2.33,14.43,4.9,3.97,7.65,2.47,561
2023-12-19T00:00:00.000Z,1.42,6.55,2.85,2.29,3.4,0.807,562
2023-12-20T00:00:00.000Z,1.23,5.55,2.58,2.08,3.33,0.865,570
2023-12-21T00:00:00.000Z,1.27,5.45,2.83,2.29,3.45,0.781,566
2023-12-22T00:00:00.000Z,1.23,5.28,2.13,1.85,2.45,0.496,576
2023-12-23T00:00:00.000Z,0.98,10.57,2.13,1.75,3.37,1.193,576
